Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age Group
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,Young Adult
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,Young Adult
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,Adult
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,Adult
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,Young Adult
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,Adult
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,Adult
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,Young Adult
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,Senior
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,Adult
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,Young Adult
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,Adult
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,Young Adult
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,Senior
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,Adult
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,Young Adult
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,Young Adult
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,Adult
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,Senior
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,Young Adult
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,Adult
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,Young Adult
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,Adult
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,Adult
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,Senior
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,Young Adult
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,Adult
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,Adult
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,Adult
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,Adult
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,Adult
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,Young Adult
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,Adult
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,Adult
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,Adult
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,Adult
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,Young Adult
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,Adult
